precinct,latitude,longitude,dem_1996,rep_1996,oth_1996,tot_1996,pct_1996,dem_2000,rep_2000,oth_2000,tot_2000,pct_2000,dem_2004,rep_2004,oth_2004,tot_2004,pct_2004,dem_2008,rep_2008,oth_2008,tot_2008,pct_2008,dem_2012,rep_2012,oth_2012,tot_2012,pct_2012,dem_2016,rep_2016,oth_2016,tot_2016,pct_2016,dem_2020,rep_2020,oth_2020,tot_2020,pct_2020
precinct_604,-77.41739893,37.563510070000000,638,25,45,708,0.962292609,605,25,14,644,0.96031746,648,41,2,691,0.940493469,925,13,3,941,0.986140725,914,19,6,939,0.979635584,835,32,26,893,0.963091119,396,35,15,446,0.918793503
precinct_606,-77.41875624,37.575340410000003,954,37,52,1043,0.962663976,890,31,10,931,0.966340934,957,51,3,1011,0.949404762,1245,19,3,1267,0.984968354,1426,35,16,1477,0.976043806,1281,47,37,1365,0.964608434,533,42,13,588,0.926956522
precinct_607,-77.43770187,37.538842150000001,97,56,22,175,0.633986928,89,58,16,163,0.605442177,194,62,0,256,0.7578125,452,143,12,607,0.759663866,671,227,32,930,0.747216036,1342,241,116,1699,0.847757423,384,125,19,528,0.754420432
precinct_609,-77.43126205,37.516721290000000,322,25,16,363,0.92795389,336,30,6,372,0.918032787,148,19,2,169,0.886227545,510,58,6,574,0.897887324,825,99,18,942,0.892857143,1482,180,118,1780,0.891696751,819,164,34,1017,0.833163784
precinct_610,-77.43748192,37.502622129999999,313,29,32,374,0.915204678,290,40,6,336,0.878787879,639,62,3,704,0.911554922,1174,24,5,1203,0.979966611,1186,23,7,1216,0.980976013,982,22,18,1022,0.978087649,482,32,9,523,0.937743191
precinct_701,-77.40326761,37.547270540000000,616,21,35,672,0.967032967,638,11,6,655,0.983050847,626,26,3,655,0.960122699,1166,7,3,1176,0.994032396,1439,11,3,1453,0.992413793,1142,16,18,1176,0.986183074,549,30,8,587,0.948186528
precinct_702,-77.41197439,37.543060349999998,616,25,48,689,0.96099844,552,17,6,575,0.970123023,538,28,5,571,0.950530035,700,7,6,713,0.99009901,1106,27,15,1148,0.976169462,994,35,63,1092,0.965986395,421,35,12,468,0.923245614
precinct_703,-77.39806817,37.534154860000001,465,18,32,515,0.962732919,424,25,7,456,0.944320713,456,27,3,486,0.944099379,1220,34,5,1259,0.972886762,945,48,18,1011,0.951661631,1012,36,79,1127,0.965648855,551,54,28,633,0.910743802
precinct_705,-77.40758551,37.528689389999997,593,36,57,686,0.942766296,530,41,16,587,0.928196147,579,71,3,653,0.890769231,730,65,11,806,0.918238994,785,100,22,907,0.88700565,886,88,96,1070,0.909650924,341,67,22,430,0.835784314
precinct_706,-77.40194027,37.517317040000002,825,144,82,1051,0.851393189,845,128,42,1015,0.868448099,1099,171,7,1277,0.865354331,1728,116,13,1857,0.937093275,1735,121,20,1876,0.934806034,1629,96,79,1804,0.944347826,778,88,19,885,0.898383372
precinct_707,-77.41552767,37.531444669999999,971,290,75,1336,0.770023791,1060,311,131,1502,0.773158279,1395,435,17,1847,0.762295082,2025,424,30,2479,0.826868109,1594,361,52,2007,0.815345269,1872,245,166,2283,0.884270194,555,148,29,732,0.789473684
precinct_708,-77.42538234,37.532807990000002,0,0,0,0,#DIV/0!,0,0,0,0,#DIV/0!,0,0,0,0,#DIV/0!,0,0,0,0,#DIV/0!,1113,359,35,1507,0.75611413,1554,332,202,2088,0.823966066,654,178,54,886,0.786057692
precinct_802,-77.44271363,37.511265639999998,685,19,26,730,0.973011364,617,24,20,661,0.962558502,669,41,2,712,0.942253521,1002,10,4,1016,0.990118577,1094,8,5,1107,0.992740472,999,19,33,1051,0.981335953,442,40,9,491,0.917012448
precinct_806,-77.43668743,37.474539010000001,133,53,38,224,0.715053763,102,59,8,169,0.633540373,230,53,4,287,0.812720848,1522,113,7,1642,0.93088685,1516,100,8,1624,0.938118812,1298,129,29,1456,0.909600561,379,76,11,466,0.832967033
precinct_810,-77.48574833,37.501837539999997,580,227,63,870,0.718711276,616,199,16,831,0.755828221,768,184,5,957,0.806722689,1072,123,10,1205,0.89707113,1132,109,10,1251,0.912167607,945,114,31,1090,0.892351275,339,78,7,424,0.81294964
precinct_811,-77.45758999,37.498477149999999,551,128,38,717,0.811487482,565,102,15,682,0.847076462,684,104,1,789,0.868020305,1305,63,7,1375,0.953947368,1367,63,8,1438,0.955944056,1233,94,40,1367,0.929163527,536,66,14,616,0.890365449
precinct_812,-77.47909023,37.467153609999997,725,366,75,1166,0.664527956,841,343,27,1211,0.710304054,1050,357,6,1413,0.746268657,1472,237,7,1716,0.861322411,1609,229,11,1849,0.875408052,1518,233,47,1798,0.866933181,546,150,13,709,0.784482759
precinct_814,-77.4692215,37.480074240000000,0,0,0,0,#DIV/0!,0,0,0,0,#DIV/0!,682,87,3,772,0.88686606,978,52,2,1032,0.949514563,1004,48,5,1057,0.954372624,903,49,24,976,0.948529412,316,48,5,369,0.868131868
precinct_902,-77.47935457,37.492313369999998,457,73,52,582,0.862264151,465,71,4,540,0.867537313,482,77,3,562,0.862254025,648,43,0,691,0.937771346,600,43,5,648,0.933125972,528,39,18,585,0.931216931,190,42,2,234,0.818965517
precinct_903,-77.4909811,37.479148930000001,898,230,83,1211,0.796099291,1075,296,23,1394,0.784099198,1375,310,7,1692,0.816023739,2042,196,10,2248,0.912421805,1459,141,15,1615,0.911875,1319,158,31,1508,0.893026405,478,98,18,594,0.829861111
precinct_908,-77.51966669,37.509857220000001,444,182,32,658,0.709265176,455,166,14,635,0.732689211,616,123,4,743,0.833558863,848,71,5,924,0.922742111,1429,120,10,1559,0.922530665,1249,118,52,1419,0.91367959,464,65,12,541,0.877126654
precinct_909,-77.50224995,37.511597739999999,678,142,82,902,0.826829268,757,131,15,903,0.852477477,881,142,3,1026,0.861192571,1058,118,9,1185,0.899659864,1486,128,16,1630,0.920693928,1381,138,62,1581,0.909150757,495,109,19,623,0.819536424
precinct_910,-77.50372215,37.483979020000000,784,186,58,1028,0.808247423,890,165,12,1067,0.843601896,1068,213,5,1286,0.833723653,1404,111,4,1519,0.926732673,1282,120,6,1408,0.914407989,1140,131,39,1310,0.89693155,470,87,12,569,0.843806104
precinct_911,-77.51136081,37.496498830000000,425,60,28,513,0.87628866,444,73,5,522,0.858800774,570,83,3,656,0.872894334,736,50,4,790,0.936386768,1195,53,14,1262,0.957532051,1167,64,35,1266,0.948009748,416,42,12,470,0.908296943
